m2000011 | LO [pb] | LO_scale+ | LO_scale- | LO_PDF | LO_alphas | NLO [pb] | NLO_scale+ | NLO_scale- | NLO_PDF | NLO_alphas | resum [pb] | resum_scale+ | resum_scale- | resum_PDF | resum_alphas
100 | 0.0891251 | 0.0915226 | 0.0858559 | 0.00176436 | 0.000274881 | 0.109058 | 0.111396 | 0.107205 | 0.00206082 | 0.00049945 | 0.109646 | 0.113814 | 0.108419 | 0.00207401 | 0.000506805
200 | 0.00785677 | 0.00796477 | 0.00771209 | 0.000184711 | 5.72525e-06 | 0.00920709 | 0.0093907 | 0.00905187 | 0.000212911 | 1.80904e-05 | 0.00924223 | 0.00962728 | 0.00909206 | 0.000213902 | 1.8264e-05
300 | 0.00164649 | 0.00171223 | 0.00158164 | 4.70756e-05 | -2.619e-06 | 0.0019004 | 0.00194041 | 0.00186311 | 5.38619e-05 | -8.6885e-07 | 0.00190524 | 0.00198493 | 0.00187286 | 5.40531e-05 | -8.761e-07
400 | 0.000491463 | 0.000519651 | 0.000465341 | 1.68238e-05 | -1.36575e-06 | 0.000564137 | 0.000575983 | 0.000551922 | 1.9168e-05 | -9.62915e-07 | 0.000564989 | 0.000587936 | 0.000555449 | 1.92505e-05 | -9.42595e-07
500 | 0.000178197 | 0.000190782 | 0.000166912 | 7.44766e-06 | -7.635e-07 | 0.000204377 | 0.000208798 | 0.000199691 | 8.46184e-06 | -6.54505e-07 | 0.000204511 | 0.000212677 | 0.000201252 | 8.47164e-06 | -6.543e-07
600 | 7.3103e-05 | 7.90461e-05 | 6.78659e-05 | 3.74851e-06 | -4.02039e-07 | 8.39898e-05 | 8.58504e-05 | 8.18753e-05 | 4.26152e-06 | -3.82986e-07 | 8.39943e-05 | 8.74201e-05 | 8.26594e-05 | 4.26992e-06 | -3.82574e-07
700 | 3.26565e-05 | 3.56068e-05 | 3.00899e-05 | 2.07076e-06 | -2.19963e-07 | 3.76372e-05 | 3.85016e-05 | 3.66336e-05 | 2.34914e-06 | -2.20228e-07 | 3.7624e-05 | 3.91819e-05 | 3.70573e-05 | 2.35336e-06 | -2.21114e-07
800 | 1.55355e-05 | 1.70562e-05 | 1.42185e-05 | 1.24397e-06 | -1.23196e-07 | 1.7977e-05 | 1.83985e-05 | 1.74647e-05 | 1.40838e-06 | -1.26023e-07 | 1.79677e-05 | 1.87168e-05 | 1.77052e-05 | 1.41347e-06 | -1.26443e-07
900 | 7.75177e-06 | 8.56367e-06 | 7.05388e-06 | 7.84632e-07 | -7.11065e-08 | 9.01219e-06 | 9.23138e-06 | 8.73559e-06 | 8.86477e-07 | -7.43345e-08 | 9.00722e-06 | 9.38386e-06 | 8.87581e-06 | 8.89267e-07 | -7.48074e-08
1000 | 4.01805e-06 | 4.46457e-06 | 3.63779e-06 | 5.16346e-07 | -4.17299e-08 | 4.69522e-06 | 4.81551e-06 | 4.54577e-06 | 5.83829e-07 | -4.37467e-08 | 4.69262e-06 | 4.8894e-06 | 4.62951e-06 | 5.84707e-07 | -4.37511e-08
