# mass(GeV) lo(fb) nlo(fb) hadronside(fb) sleptonside(fb)
300 3.99094 4.08725 4.0031 4.07509
400 1.18077 1.20922 1.18454 1.20545
500 0.425325 0.435593 0.426756 0.434162
600 0.173483 0.177692 0.174099 0.177076
700 0.0770929 0.0789769 0.0773821 0.0786877
800 0.0364734 0.0373728 0.0366179 0.0372282
900 0.0181052 0.0185562 0.0181809 0.0184805
1000 0.00933636 0.00957148 0.00937748 0.00953036
