# mass(GeV) lo(fb) nlo(fb) hadronside(fb) sleptonside(fb)
300 1.55291 1.59098 1.55823 1.58567
400 0.463624 0.474969 0.465279 0.473314
500 0.16813 0.172254 0.16876 0.171624
600 0.0689721 0.0706725 0.069244 0.0704005
700 0.0308151 0.0315803 0.030943 0.0314524
800 0.0146554 0.0150226 0.0147195 0.0149586
900 0.00731325 0.00749831 0.00734685 0.00746472
1000 0.00379129 0.00388826 0.00380957 0.00386998
