# mass(GeV) | lo(fb) | +-PDFerr | nlo(fb) | +-PDFerr | hadronside(fb)| +-PDFerr | sleptonside(fb) | +-PDFerr | ratio | +-PDFerr
100 221.467 3.99649 5.16634 0.100775 0.61896 0.0142542 4.54738 0.0887268 0.0233278 8.95914e-05
200 19.2794 0.46115 0.431144 0.0103422 0.0561859 0.00190396 0.374958 0.00872147 0.0223629 0.000123854
300 3.99723 0.121303 0.088496 0.00250357 0.0120222 0.000320408 0.0764738 0.00221607 0.0221393 0.000110618
400 1.18137 0.0429149 0.0258983 0.000909989 0.00369604 0.000144586 0.0222022 0.000784274 0.0219223 0.000100989
500 0.425731 0.0191314 0.00929361 0.000397307 0.00142492 6.20524e-05 0.00786869 0.000337997 0.0218298 0.000177388
600 0.173479 0.00976094 0.00380411 0.000192215 0.000615329 3.17298e-05 0.00318878 0.000162111 0.0219284 0.000351943
700 0.0773214 0.00497735 0.00170846 0.000102312 0.000286807 1.86049e-05 0.00142165 8.60452e-05 0.0220955 0.000195084
800 0.036534 0.00289811 0.000813831 5.88863e-05 0.000142962 9.90914e-06 0.000670869 4.9209e-05 0.022276 0.000191913
900 0.0180972 0.00179434 0.000406891 3.57193e-05 7.50943e-05 6.27779e-06 0.000331797 2.9937e-05 0.0224836 0.000324763
1000 0.0093245 0.00116441 0.000211507 2.29607e-05 4.05906e-05 3.98127e-06 0.000170916 1.91376e-05 0.0226829 0.000445159
