# mass(GeV) lo(fb) nlo(fb) hadronside(fb) sleptonside(fb)
100 83.986 1.95128 0.270741 1.68054
200 7.40709 0.168225 0.0244991 0.143726
300 1.55267 0.0348508 0.00531155 0.0295392
400 0.463574 0.0103504 0.00165529 0.00869508
500 0.168093 0.0037505 0.000630032 0.00312046
600 0.0689697 0.00154337 0.000271962 0.0012714
700 0.0308093 0.000693164 0.000127919 0.000565245
800 0.0146503 0.00033216 6.40313e-05 0.000268128
900 0.00731123 0.000167205 3.3593e-05 0.000133611
1000 0.00379009 8.75706e-05 1.82774e-05 6.92932e-05
