# mass(GeV) | lo(fb) | +-scale_err | nlo(fb) | +-scale_err | hadronside(fb)| +-scale_err | sleptonside(fb) | +-scale_err | ratio | +-scale_err
100 84.0244 5.29113 1.94949 0.323723 0.270776 0.227032 1.67872 0.096691 1.0232 0.00240011
200 7.40835 0.233118 0.168249 0.0173477 0.0245054 0.0223739 0.143744 0.00502617 1.02271 0.00306159
300 1.55292 0.122344 0.0348607 0.00282258 0.00531217 0.00521255 0.0295485 0.00238997 1.02245 0.00358554
400 0.463625 0.0511156 0.010353 0.000736571 0.00165553 0.00170412 0.00869743 0.000967552 1.02233 0.00404387
500 0.168131 0.0225006 0.00375194 0.000249001 0.000630087 0.000667497 0.00312185 0.000418495 1.02232 0.0044537
600 0.0689722 0.0105404 0.00154344 9.88967e-05 0.000271971 0.000292502 0.00127147 0.000193605 1.02238 0.0048333
700 0.0308152 0.00520135 0.000693291 4.36092e-05 0.000127932 0.00013837 0.000565359 9.47608e-05 1.0225 0.00518546
800 0.0146555 0.00267555 0.000332193 2.06793e-05 6.40381e-05 6.92018e-05 0.000268155 4.85225e-05 1.02267 0.00551513
900 0.00731327 0.00142427 0.000167247 1.03448e-05 3.35948e-05 3.60933e-05 0.000133653 2.57485e-05 1.02287 0.00582739
1000 0.0037913 0.000779501 8.75768e-05 5.37627e-06 1.828e-05 1.94594e-05 6.92968e-05 1.40831e-05 1.0231 0.00611995
