# mass(GeV) lo(fb) nlo(fb) hadronside(fb) sleptonside(fb)
300 3.99118 4.08756 4.00334 4.0754
400 1.18086 1.20935 1.18463 1.20559
500 0.425334 0.435604 0.426765 0.434173
600 0.17349 0.1777 0.174106 0.177084
700 0.0770865 0.0789729 0.0773757 0.0786836
800 0.0364711 0.0373705 0.0366156 0.037226
900 0.0181035 0.0185545 0.0181792 0.0184788
1000 0.00933531 0.00957044 0.00937643 0.00952932
