# mass(GeV) lo(fb) nlo(fb) hadronside(fb) sleptonside(fb)
100 229.518 229.518 229.518 229.518
200 19.3351 19.3351 19.3351 19.3351
300 3.99095 3.99095 3.99095 3.99095
400 1.18078 1.18078 1.18078 1.18078
500 0.425326 0.425326 0.425326 0.425326
600 0.173483 0.173483 0.173483 0.173483
700 0.0770931 0.0770931 0.0770931 0.0770931
800 0.0364735 0.0364735 0.0364735 0.0364735
900 0.0181053 0.0181053 0.0181053 0.0181053
1000 0.00933639 0.00933639 0.00933639 0.00933639
