# mass(GeV) lo(fb) nlo(fb) hadronside(fb) sleptonside(fb)
300 1.69623 1.73787 1.70201 1.73209
400 0.513677 0.526279 0.515497 0.524458
500 0.188971 0.193605 0.189672 0.192904
600 0.0786472 0.0805836 0.0789533 0.0802775
700 0.0356471 0.0365305 0.0357929 0.0363847
800 0.0171994 0.0176291 0.0172733 0.0175552
900 0.00870739 0.00892691 0.00874664 0.00888766
1000 0.0045792 0.00469581 0.00460084 0.00467418
