# mass(GeV) lo(fb) nlo(fb) hadronside(fb) sleptonside(fb)
300 1.55306 1.59115 1.55837 1.58584
400 0.463663 0.47503 0.465318 0.473375
500 0.16813 0.172255 0.16876 0.171625
600 0.0689756 0.0706763 0.0692476 0.0704044
700 0.0308123 0.0315787 0.0309403 0.0314507
800 0.0146545 0.0150217 0.0147186 0.0149577
900 0.00731248 0.00749756 0.00734608 0.00746396
1000 0.00379081 0.00388779 0.00380909 0.00386951
