# mass(GeV) lo(fb) nlo(fb) hadronside(fb) sleptonside(fb)
300 4.36284 4.46827 4.37606 4.45505
400 1.30939 1.341 1.31354 1.33686
500 0.478516 0.490064 0.480108 0.488473
600 0.198038 0.202837 0.198732 0.202144
700 0.0892984 0.0914761 0.089628 0.0911465
800 0.0428709 0.0439249 0.0430377 0.0437581
900 0.0215957 0.0221316 0.0216842 0.0220431
1000 0.0113001 0.0115833 0.0113487 0.0115346
