# mass(GeV) lo(fb) nlo(fb) hadronside(fb) sleptonside(fb)
100 80.9342 82.9401 81.1923 82.682
200 7.38948 7.57157 7.41376 7.5473
300 1.5557 1.59374 1.56095 1.58849
400 0.463854 0.475158 0.465476 0.473536
500 0.168287 0.172403 0.168914 0.171775
600 0.0689636 0.0706599 0.0692352 0.0703883
700 0.0309197 0.0316872 0.0310465 0.0315604
800 0.0146746 0.0150422 0.014738 0.0149788
900 0.00730874 0.00749396 0.0073423 0.00746041
1000 0.00378612 0.00388284 0.00380416 0.00386479
