# mass(GeV) | lo(fb) | lo_scale- | lo_scale+ | nlo(fb) | nlo_scale- | nlo_scale+
100 229.294 220.783 235.553 234.959 226.013 241.565
200 19.3395 19.0039 19.6277 19.8096 19.4885 20.0783
300 3.99409 3.83653 4.15677 4.09043 3.93518 4.2505
400 1.18127 1.1188 1.25019 1.20972 1.1478 1.27808
500 0.42538 0.398328 0.455895 0.435649 0.408755 0.465995
600 0.173607 0.161054 0.187798 0.177818 0.165317 0.191948
700 0.0771309 0.0709981 0.0841788 0.0790151 0.0729026 0.0860391
800 0.0364752 0.0333726 0.040105 0.0373748 0.03428 0.0409941
900 0.0181106 0.0164758 0.0200341 0.0185615 0.0169303 0.02048
1000 0.00933652 0.00845006 0.0103783 0.00957169 0.00868685 0.010611
