# mass(GeV) | lo(fb) | lo_scale- | lo_scale+ | nlo(fb) | nlo_scale- | nlo_scale+
100 83.9555 80.8922 86.2059 86.0592 82.8263 88.4495
200 7.41035 7.28358 7.51815 7.59332 7.47324 7.69229
300 1.5543 1.49362 1.61666 1.59238 1.53288 1.65341
400 0.463868 0.439605 0.490526 0.475217 0.451259 0.501554
500 0.168155 0.157594 0.180056 0.172279 0.161815 0.184075
600 0.0690202 0.0640787 0.0745958 0.0707211 0.0658154 0.0762557
700 0.0308313 0.0284025 0.0336147 0.0315966 0.0291826 0.0343627
800 0.0146558 0.0134214 0.0160981 0.0150231 0.013795 0.0164574
900 0.00731548 0.00666108 0.00808442 0.0075005 0.00684919 0.00826547
1000 0.00378894 0.00343452 0.00420963 0.00388594 0.00353302 0.00430461
