# mass(GeV) lo(fb) nlo(fb) hadronside(fb) sleptonside(fb)
100 84.0244 84.0244 84.0244 84.0244
200 7.40835 7.40835 7.40835 7.40835
300 1.55292 1.55292 1.55292 1.55292
400 0.463625 0.463625 0.463625 0.463625
500 0.168131 0.168131 0.168131 0.168131
600 0.0689722 0.0689722 0.0689722 0.0689722
700 0.0308152 0.0308152 0.0308152 0.0308152
800 0.0146555 0.0146555 0.0146555 0.0146555
900 0.00731327 0.00731327 0.00731327 0.00731327
1000 0.0037913 0.0037913 0.0037913 0.0037913
