# mass(GeV) lo(fb) nlo(fb) hadronside(fb) sleptonside(fb)
100 221.467 226.883 222.086 226.264
200 19.2794 19.7471 19.3356 19.6909
300 3.99722 4.09348 4.00924 4.08145
400 1.18137 1.20972 1.18506 1.20602
500 0.42573 0.435983 0.427155 0.434558
600 0.173478 0.177678 0.174094 0.177063
700 0.0773212 0.0792104 0.077608 0.0789236
800 0.0365339 0.0374347 0.0366769 0.0372917
900 0.0180972 0.0185482 0.0181723 0.0184731
1000 0.00932447 0.00955906 0.00936506 0.00951847
