# mass(GeV) | lo(fb) | lo_scale- | lo_scale+ | nlo(fb) | nlo_scale- | nlo_scale+
100 229.518 6.22726 8.45033 234.761 6.629 8.86696
200 19.335 0.28341 0.335444 19.7668 0.263795 0.316535
300 3.99094 0.155598 0.163238 4.079 0.152788 0.160327
400 1.18077 0.0628112 0.0690253 1.20668 0.0621332 0.068313
500 0.425325 0.0270935 0.0305105 0.43465 0.0268798 0.0302785
600 0.173483 0.0125108 0.0143007 0.177296 0.0124307 0.0142103
700 0.0770929 0.00609882 0.00705497 0.0787965 0.00606522 0.00701531
800 0.0364734 0.00310418 0.00362388 0.0372854 0.00308889 0.00360504
900 0.0181052 0.00163649 0.00192461 0.018512 0.00162912 0.00191509
1000 0.00933636 0.000887828 0.0010501 0.00954827 0.000884134 0.00104509
