# mass(GeV) lo(fb) nlo(fb) hadronside(fb) sleptonside(fb)
100 83.986 0 0 0
200 7.40709 0 0 0
300 1.55267 0 0 0
400 0.463574 0 0 0
500 0.168093 0 0 0
600 0.0689697 0 0 0
700 0.0308093 0 0 0
800 0.0146503 0 0 0
900 0.00731123 0 0 0
1000 0.00379009 0 0 0
