# SLEPTON_MASS = 700
# mu/mass | lo(fb) | nlo(fb) | hadronside(fb)| sleptonside(fb)
0.25 0.0368544 0.0374966 0.0368212 0.0375298
0.5 0.0336031 0.0342728 0.0336567 0.0342192
1 0.0308152 0.0315085 0.0309431 0.0313805
2 0.0284017 0.0291151 0.0285937 0.0289231
4 0.0262944 0.0270248 0.0265419 0.0267773
