# mass(GeV) | lo(fb) | +-PDFerr | nlo(fb) | +-PDFerr | hadronside(fb)| +-PDFerr | sleptonside(fb) | +-PDFerr | ratio | +-PDFerr
100 84.0244 1.71866 1.94949 0.0404609 0.270776 0.00649379 1.67872 0.0341915 1.0232 2.64972e-05
200 7.40835 0.17977 0.168249 0.00412626 0.0245054 0.00063062 0.143744 0.00351084 1.02271 2.05611e-05
300 1.55292 0.0464228 0.0348607 0.00103626 0.00531217 0.000157435 0.0295485 0.000881956 1.02245 2.3982e-05
400 0.463625 0.0169072 0.010353 0.000370451 0.00165553 5.77301e-05 0.00869743 0.000313619 1.02233 3.622e-05
500 0.168131 0.00745025 0.00375194 0.000160328 0.000630087 2.58511e-05 0.00312185 0.000134799 1.02232 5.98546e-05
600 0.0689722 0.0037241 0.00154344 7.88118e-05 0.000271971 1.3133e-05 0.00127147 6.58186e-05 1.02238 9.29106e-05
700 0.0308152 0.00204595 0.000693291 4.26087e-05 0.000127932 7.28137e-06 0.000565359 3.53951e-05 1.0225 0.000144806
800 0.0146555 0.00121049 0.000332193 2.48044e-05 6.40381e-05 4.33269e-06 0.000268155 2.05099e-05 1.02267 0.00022017
900 0.00731327 0.000759364 0.000167247 1.53191e-05 3.35948e-05 2.73218e-06 0.000133653 1.26101e-05 1.02287 0.000326956
1000 0.0037913 0.000496953 8.75768e-05 9.91776e-06 1.828e-05 1.8034e-06 6.92968e-05 8.12887e-06 1.0231 0.000466867
