# mass(GeV) | lo(fb) | +-scale_err | nlo(fb) | +-scale_err | hadronside(fb)| +-scale_err | sleptonside(fb) | +-scale_err | ratio | +-scale_err
100 229.518 14.6776 5.24389 0.818372 0.653208 0.547208 4.59068 0.271164 1.02285 0.0021119
200 19.3351 0.618856 0.431711 0.0385248 0.056655 0.0517888 0.375056 0.013264 1.02233 0.00271185
300 3.99095 0.318836 0.0880608 0.00572024 0.0121567 0.0119367 0.0759041 0.00621643 1.02207 0.00319542
400 1.18078 0.131837 0.0259114 0.00139038 0.00377019 0.00388257 0.0221412 0.00249219 1.02194 0.00362134
500 0.425326 0.0576042 0.00932522 0.000445777 0.00143053 0.00151587 0.00789469 0.00107009 1.02192 0.0040049
600 0.173483 0.0268116 0.00381349 0.000170516 0.000616065 0.000662639 0.00319742 0.000492123 1.02198 0.00436159
700 0.0770931 0.0131538 0.00170366 7.32586e-05 0.000289235 0.000312804 0.00141442 0.000239545 1.0221 0.00469576
800 0.0364735 0.00672808 0.000812064 3.41307e-05 0.000144527 0.000156135 0.000667537 0.000122004 1.02226 0.00501146
900 0.0181053 0.0035611 0.000406758 1.6878e-05 7.56923e-05 8.12799e-05 0.000331066 6.44019e-05 1.02247 0.0053133
1000 0.00933639 0.00193794 0.000211912 8.70334e-06 4.11174e-05 4.37388e-05 0.000170794 3.50355e-05 1.0227 0.00559949
