# mass(GeV) lo(fb) nlo(fb) hadronside(fb) sleptonside(fb)
100 229.366 234.615 230.019 233.962
200 19.3323 19.764 19.389 19.7073
300 3.99018 4.07822 4.00234 4.06606
400 1.18057 1.20648 1.18434 1.20271
500 0.425215 0.434537 0.426646 0.433107
600 0.173477 0.17729 0.174093 0.176674
700 0.077078 0.0787814 0.0773672 0.0784921
800 0.0364611 0.0372731 0.0366056 0.0371286
900 0.0181002 0.0185069 0.0181759 0.0184312
1000 0.00933343 0.00954533 0.00937454 0.00950421
