# mass(GeV) | lo(fb) | lo_scale- | lo_scale+ | nlo(fb) | nlo_scale- | nlo_scale+
100 84.0242 2.2485 3.04262 85.9737 2.4082 3.20665
200 7.40833 0.106555 0.126562 7.57658 0.0977516 0.118018
300 1.55291 0.0597748 0.0625685 1.58777 0.0583904 0.0611302
400 0.463624 0.0243774 0.0267381 0.473977 0.0240198 0.0263591
500 0.16813 0.0105915 0.0119091 0.171882 0.0104727 0.0117789
600 0.0689721 0.0049216 0.00561877 0.0705155 0.00487523 0.00556624
700 0.0308151 0.00241345 0.00278789 0.0315084 0.0023934 0.00276433
800 0.0146554 0.00123538 0.00144016 0.0149876 0.00122604 0.00142882
900 0.00731325 0.000655003 0.000769263 0.0074805 0.000650425 0.000763497
1000 0.00379129 0.000357405 0.000422095 0.00387887 0.000355073 0.00041905
